ProductID,ProductName,Category,SubCategory,Brand,BrandTier,Size,Price,Cost,Margin
P00001,Levi's Suits,Formal Wear,Suits,Levi's,Mid-Range,XXL,2373.07,1643.6,30.74
P00002,Hugo Boss Blazers,Formal Wear,Blazers,Hugo Boss,Premium,S,3874.37,2478.82,36.02
P00003,H&M Dress Shirts,Formal Wear,Dress Shirts,H&M,Budget,XXL,1455.28,834.46,42.66
P00004,H&M Waistcoats,Formal Wear,Waistcoats,H&M,Budget,XL,1043.95,709.81,32.01
P00005,Levi's Trousers,Formal Wear,Trousers,Levi's,Mid-Range,XS,3324.68,2181.69,34.38
P00006,Zara Suits,Formal Wear,Suits,Zara,Budget,S,886.45,616.52,30.45
P00007,Armani Waistcoats,Formal Wear,Waistcoats,Armani,Premium,XL,4296.26,2499.78,41.81
P00008,GAP Dress Shirts,Formal Wear,Dress Shirts,GAP,Budget,S,1563.66,903.03,42.25
P00009,Puma Trousers,Formal Wear,Trousers,Puma,Mid-Range,M,2077.82,1306.35,37.13
P00010,Tommy Hilfiger Suits,Formal Wear,Suits,Tommy Hilfiger,Mid-Range,XXL,2614.17,1551.99,40.63
P00011,Nike Trousers,Formal Wear,Trousers,Nike,Mid-Range,M,3369.78,1923.89,42.91
P00012,Tommy Hilfiger Dress Shirts,Formal Wear,Dress Shirts,Tommy Hilfiger,Mid-Range,XXXL,2027.01,1226.25,39.5
P00013,Levi's Blazers,Formal Wear,Blazers,Levi's,Mid-Range,XS,2715.49,1813.34,33.22
P00014,H&M Trousers,Formal Wear,Trousers,H&M,Budget,M,1638.63,1027.64,37.29
P00015,Puma Blazers,Formal Wear,Blazers,Puma,Mid-Range,M,3288.14,1831.39,44.3
P00016,Adidas Suits,Formal Wear,Suits,Adidas,Mid-Range,XL,3351.69,1929.16,42.44
P00017,GAP Suits,Formal Wear,Suits,GAP,Budget,XS,1073.22,743.02,30.77
P00018,Ralph Lauren Waistcoats,Formal Wear,Waistcoats,Ralph Lauren,Premium,XXXL,4855.65,3259.4,32.87
P00019,Nike Waistcoats,Formal Wear,Waistcoats,Nike,Mid-Range,XL,2079.38,1174.12,43.53
P00020,Armani Dress Shirts,Formal Wear,Dress Shirts,Armani,Premium,XS,3673.78,2263.13,38.4
P00021,Uniqlo Dress Shirts,Formal Wear,Dress Shirts,Uniqlo,Budget,XS,1312.56,819.4,37.57
P00022,H&M Dress Shirts,Formal Wear,Dress Shirts,H&M,Budget,L,944.43,648.26,31.36
P00023,GAP Blazers,Formal Wear,Blazers,GAP,Budget,XXL,1886.88,1225.3,35.06
